,Title,Company,Location,Link,Review,Salary,Description,Crawl Time,Crawl Date
0,Business Analyst,ITC Infotech India Ltd,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=e8c68c9d9b071e98&fccid=47cca1a92b73a5b2&vjs=3,3.7,None,"3 to 5 years of experience with ITSM or other Service Desk oriented tool sets
Experience of using business analysis tools/techniques to design and deliver business change
Strong engagement, communication and facilitation skills, including presentation and influencing skills
Experience in Business Needs Identification, Business Analysis Planning, Stakeholder Analysis & Change and Requirements Analysis and Design Definition
Responsible for requirements management plans including elicitation, approvals, processes, and scope impacts. Supports the work with the business to identify functional and technical requirements, translating the requirements into design specifications reflecting Functional Design, User Interface Design and Business Process
Exposure to working in Agile methodology, SAFe environments
Demonstrable experience working in a highly collaborative environment, with focus towards delivering real business results.
Awareness of ITILv3 Framework
Experience in training for user applications, specifically ticketing systems
Experience in documentation writing for software applications
Intermediate computer experience and web tool experience
Experience in gathering and documenting customer requirements for software development
Customer Service and communication experience
Work with the lead Administrators and Developers on various projects by gathering and documenting Request for Enhancement requirements",20:10:34,28/12/2020
1,Business Analyst,WEN,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=ffc189b546de1c93&fccid=42ece8b4b3955811&vjs=3,None,None,"Urgent Req. for the Post of Business Analyst at Bangalore Location.
Roles and responsibilities:
This is like a business analyst role in an IT company.
Candidate needs to understand our ERP, work on various business aspects of it like adding distributor, managing price masters, adding sales schemes, pulling data from ERP, checking data from ERP etc.
Candidate needs to continuously monitor ERP and DMS (Distributor management system) for any bugs.

Working Days:
Monday to Saturday
Work Location:
Bangalore
If you are interested then Please send us your updated Cv with your current and expected CTC in word format.
Rashmi Tambutkar
Mobile : 9004319460
rashmit@wen-jobs.com
WEN | Creating Opportunities.
www.wen-jobs.com",20:10:37,28/12/2020
2,Functional Business Analysis – Consultant – Blr,Deloitte,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=dcc34521a481864a&fccid=9e215d88a6b33622&vjs=3,4.0,None,"SCAM ALERT: Caution against fraudulent job offers!
More Info

×

SCAM ALERT
Caution against fraudulent job offers!

We have been informed of instances where jobseekers are led to believe of fictitious job opportunities with Deloitte India (“Deloitte”). In one or more such cases, false promises of actual or potential selection, or initiation or completion of the recruitment formalities appear to have been or are being made. Some jobseekers appear to have been asked to pay money to specified bank accounts of individuals or entities as a condition of their selection for a ‘job’ with Deloitte. These individuals or entities are in no way connected with Deloitte and do not represent or otherwise act on behalf of Deloitte.

We would like to clarify that:
At Deloitte, ethics and integrity are fundamental and not negotiable.
We are against corruption and neither offer bribes nor accept them, nor induce or permit any other party to make or receive bribes on our behalf.
We have not authorised any party or person to collect any money from jobseekers in any form whatsoever for promises of getting jobs in Deloitte.
We consider candidates only on merit and that we provide an equal opportunity to eligible applicants.
No one other than an authorised official of Deloitte is permitted to confirm any job offer from Deloitte.
Anyone who at any time has made or makes any payment to any party against promises of job or selection for a job with Deloitte or any matter related to this (including those for ‘registration’, ‘verification’ or ‘security deposit’) or otherwise engages with any such person who has made or makes fraudulent promises or offers, does so (or has done so) entirely at their own risk. Deloitte takes no responsibility or liability for any such unauthorised or fraudulent actions or engagements.
We encourage jobseekers to exercise caution. If you have queries about the veracity of a job offer you have received which relates to Deloitte or would like to report a fraud with regard to job offers with Deloitte, please send an email to inhiringalert@deloitte.com

Functional Testing – Consultant

We are looking for a Consultant to join our organization and be a part of success in delivering the software development projects with quality by deriving complex test scenarios, design quality test cases/scripts and execute manual/automated tests and report defects in the system. Should be able to deliver automation of end-to-end functional modules, assist in status reporting and effectively communicate.

Who we are:
The Deloitte Consulting, Core Business Operations offering helps clients bring focus to their toughest integration challenges across the technology lifecycle. From requirements to architecture, testing to deployment and beyond, we bring an integrated, “whole company” perspective to every project.

We help our clients make sure that application engineering and testing is executed in lock step with business objectives to optimize performance. We define, develop, and test meaningful business workload scenarios that come as close as possible to an actual day in the life of the application.

To achieve this, we are looking for highly motivated and passionate professionals like you with varied skillset and experiences.

Qualifications -

Required -

Bachelor’s Degree with 3-6 years of industry experience in a functional testing role for Investment Management operations

Functional / Industry Experience:
Understanding of asset management business, including front office operations and middle/back office operations
Functional knowledge of Fixed Income products such as, Bonds, Futures, Loans, Money Markets, and Swaps
Understanding of asset management technologies – Charles River IMS, Blackrock Aladdin, SimCorp Dimension. Charles River IMS is preferable
Experience in leading client discussions and soliciting business requirements

Testing Experience:
Ability to comprehend complex business requirements and translate them into test cases
Good understanding of QA methodologies, software testing life cycle and processes.
Hands on knowledge of Agile Principles and ability to perform in an Agile environment
Hands on Experience in designing highly reusable and efficient Test Framework
Working knowledge of test management tools like Microfocus/ Visual Studio Test Manager /Maven /JIRA / HP QC / Others
Experience in setting up and configuring test environments is highly preferred

Consulting Skills:
Strong analytical and problem-solving skills
Ability to effectively articulate technical challenges and solutions
Experience in managing conversations with on-ground client stakeholders
Advanced MS Excel skills and comfort working with MS Powerpoint

We believe you are:
An innovator with intellectual curiosity and creativity
Adaptable, flexible and a professional with integrity
A good communicator with excellent verbal and written communication skills
Problem solver with detailed analytical and judgmental skills
An enthusiastic person in sharing knowledge with team members and
A good mentor for juniors in the team

How you’ll grow

At Deloitte, we’ve invested a great deal to create a rich environment in which our professionals can grow. We want all our people to develop in their own way, playing to their own strengths as they hone their leadership skills. And, as a part of our efforts, we provide our professionals with a variety of learning and networking opportunities—including exposure to leaders, sponsors, coaches, and challenging assignments—to help accelerate their careers along the way. No two people learn in exactly the same way. So, we provide a range of resources including live classrooms, team-based learning, and eLearning. DU: The Leadership Center in India, our state-of-the-art, world-class learning Center in the Hyderabad offices is an extension of the Deloitte University (DU) in Westlake, Texas, and represents a tangible symbol of our commitment to our people’s growth and development. Explore DU: The Leadership Center in India

Benefits

At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean to you.

Deloitte’s culture

Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture that is inclusive, invites authenticity, leverages our diversity, and where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.

Corporate citizenship

Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.

Education:
Bachelor’s degree from accredited university with strong academic record.
MHA/B.E./B.Tech./MCA/MSc/M.Tech/MBA or any medical background
\\“Deloitte\\” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management and tax services to selected clients. These firms are members of Deloitte Touche Tohmatsu Limited DTTL, a UK private company limited by guarantee. Each member firm provides services in a particular geographic area and is subject to the laws and professional regulations of the particular country or countries in which it operates. DTTL does not itself provide services to clients. DTTL and each DTTL member firm are separate and distinct legal entities, which cannot obligate each other. DTTL and each DTTL member firm are liable only for their own acts or omissions and not those of each other. Each DTTL member firm is structured differently in accordance with national laws, regulations, customary practice, and other factors, and may secure the provision of professional services in its territory through subsidiaries, affiliates and/or other entities. In the United States, Deloitte LLP is the member firm of DTTL. Like DTTL, Deloitte LLP does not provide services to clients. Instead, services are primarily provided by the subsidiaries of Deloitte LLP, including: Deloitte & Touche LLPDeloitte Consulting LLPDeloitte Financial Advisory Services LLPDeloitte Tax LLP

Requisition code: E21BCCONPC1-FuncBA",20:10:38,28/12/2020
3,Business Analyst,Ampcome Technologies,"Bengaluru, Karnataka",https://in.indeed.com/company/Ampcome/jobs/Business-Analyst-30b1b00d2f761cbb?fccid=8d01f9794deb52ed&vjs=3,None,"₹20,000 - ₹1,00,000 a month","Develop a deep understanding of end users and clients
Ensure accurate flow of client ask, information from product managers to develop error free stories for development
Defining scope of the build or project with architects and PMs
Interact with the technology team and help them understand the business aspects of the solution
Prepare use cases, business requirements documents (BRD), system requirements specification (SRS) documents and other functional documents
Performing basic level of acceptance testing
Work with the end users/clients to help them understand the changes/new solution
Expected Start Date: 7/12/2020
Job Type: Full-time
Salary: ₹20,000.00 - ₹100,000.00 per month
Schedule:
Monday to Friday
Experience:
business analysis: 3 years (Required)
total work: 3 years (Required)
Web / Mobile App Development: 3 years (Preferred)
Education:
Bachelor's (Required)
Speak with the employer
+91 8971444922",20:10:39,28/12/2020
4,Business Analyst - ERM KTLO,Standard Chartered,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=a07fa441dc11b46c&fccid=5249cd8e17163cb5&vjs=3,4.1,None,"Job: Business Support and Management
Primary Location: ASEAN & South Asia-India-Bangalore
Schedule: Full-time
Employee Status: Permanent
Posting Date: 23/Dec/2020, 2:41:17 AM
Unposting Date: Ongoing
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.


To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.


We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.



Business Analyst –ERM KTLO:
A Business Analyst is sought to join the ERM (Enterprise Risk Management) KTLO team. As a member of an experienced infrastructure change team, your focus will be on the delivery of business functionality and process change supported by the ERM systems and related components.

Key Roles & Responsibilities:
Undertake the role of a change agent for ERM (comprising of Model Risk Management, Reputational Risk, Climate Risk and Country Risk) - to identify needs for process improvements in the current risk measurement and reporting process, provide solutions and oversee implementation.
Work closely with the business users to understand, analyse and document change requirements
Produce business requirements documents / user stories
Liaise with internal technology teams to support the technical specification and development work
Undertake functional testing of the deliverables to ensure it meets the requirements, and provide support and guidance for user acceptance testing
Participate in UVT and go live events
User training, update of user guides and and support for system implementations
Assisting business stakeholders with production related queries and incidents which are having a direct impact on business
Qualifications & Skills:
A understanding of Enterprise Risk Management framework, with focus on Model Risk, Climate Risk and Reputational Risk
Strong full-life-cycle project experience
Strong experience managing detailed requirements across a broad domain
Strong analytical and critical thinking abilities, detail oriented and proficient with highly structured approaches aligned with project / change management best practices
Excellent communication skills, both oral and written, with an ability to interact effectively with stakeholders across bank-wide functions
Direct experience and thorough understanding of the key stages of business testing and the end-to-end change management process
Personal Attributes:
The role will require direct contact with business users and technology delivery teams, hence domain knowledge and business orientation are very important
The role requires a self-starter who wants to deliver quality solutions
Must have strong sense of responsibility/ownership
High learning aptitude, able to grasp new products, processes and technology quickly
Must be an effective communicator with a high standard of English literacy, interpersonal skills, problem solving and analytical skills, and excellent verbal communication and writing ability.
A team player who enjoys working with people on all levels as well as being able to work independently and under pressure to meet tight deadlines


Apply now to join the Bank for those with big career ambitions.


To view information on our benefits including our flexible working please visit our career pages. We welcome conversations on flexible working.",20:10:40,28/12/2020
5,"Business Analyst, Asset Management",Altisource,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=f21c2e230b025df4&fccid=d3fcae15bb7f5086&vjs=3,3.5,None,"Job Description
Responsibilities:
Understand the business in detail and track operational performance through various reports
Analyze data and identify deviations from process
Understand system workflows and create/modify workflows
Work with different business teams to understand operational issues and identify operational inefficiencies

KRAs:
Monitor and eliminate outliers
Implement and document process changes
Improve/Automate reporting to reduce/eliminate manual activities

Qualifications
Qualifications / Requirements:
Analytical, task-oriented, cooperative, high attention to detail
Good working knowledge of SQL queries
Proficient in Microsoft Excel and Power Point
Good communication skills
Excellent team player

Additional Information
WORKING AT ALTISOURCE ADVANTAGES

Prosperity
Competitive salary based on your experience and skills – we believe the top talent deserves the top rupee
Good Health
Comprehensive insurance plans; Medical insurance for employees and family, Personal Accident Benefit and Life Insurance for employees
Wellness Programs – Doctor support, Psychologist, Counselor, Onsite health checkup camps etc.
Happiness
10 paid holidays, plus 26 paid days off per year
Opportunities to join our community service initiatives, including Habitat for Humanity

OUR CORE VALUES

For our employees, customers, and shareholders, we commit to…
Act With Integrity – exhibit unwavering integrity, compliance and ethical conduct at all times
Energize People – enable exceptional people to energize their teams and drive results
Empower Innovation – reward the relentless creation of innovative and compliant solutions to achieve our mission and generate value for our customers
Exceed Customer Expectations – execute world-class solutions to deliver value and delight our customers
Win as a Team – embrace the passion, energy and power of our global teams to win as “One-Altisource”
Enrich Communities – create positive impacts for the communities where we live and serve

Are you up to the challenge? What are you waiting for? Apply today!
At Altisource we value diversity, and are proud to be an equal opportunity workplace. We do not discriminate against any employee or applicant for employment on the basis of race, religion, color, sex, national origin, gender identity and/or expression, sexual orientation, age, marital status, veteran status, or disability status.",20:10:41,28/12/2020
6,Business Analyst,Luxoft,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=def7d9502c93d661&fccid=4b841d912d46e4fd&vjs=3,4.4,None,"Project Description:
The project is in RISK Domain using EUNO platform which is supported by the IT team. The platform operates 24/7 supporting teams in Sydney. The platform undergoes constant change as it provides services to a number of business stakeholders. To facilitate the change a Senior Test Analyst with strong Batch testing experience is required to perform End to End Testing of the software solution.

Responsibilities:
Working in an Agile Scrum based environment to build a web based data management and transnational system
Perform reviews of complex business processes
Write requirement documents and user stories
Working directly with the business and senior technology stakeholders to lead requirement gathering
Skills Required:",20:10:42,28/12/2020
7,Business Analyst,Standard Chartered,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=bc8c1e0e3da3533a&fccid=5249cd8e17163cb5&vjs=3,4.1,None,"Job: Technology
Primary Location: ASEAN & South Asia-India-Bangalore
Schedule: Full-time
Employee Status: Permanent
Posting Date: 21/Dec/2020, 11:21:28 PM
Unposting Date: 05/Jan/2021, 5:59:00 PM
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.


To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.


We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.


The Role Responsibilities
Elicit requirements from stakeholders and work with surrounding systems/application teams to ensure static data is available in high quality and as per requirements.
Coordinating with stakeholders from various project teams in FM Post trade, agree timelines and funding, manage external vendors, manage all governance requirements in close collaboration with technical development manager
Coordinating with cross discipline team members to make sure that all parties are on track with project requirements, deadlines, and schedules.
Provide periodic project updates to project working group and steering committees
Define and monitor at a work stream level key risk and issues and manage them
Work closely with the Group Functions and Business Areas to implement / enhance data quality controls and documentation.
Preparing status reports by gathering, analysing and summarizing relevant information.
Our Ideal Candidate
Knowledge of the Trade Processing and Lifecycle Front-to-back (Pricing, Execution, Risk Management, Validation, Life-cycling, Reporting/Reconciliations, Settlement, Confirmations, Accounting).
Ideally experience in regulatory reporting for big regimes like Dodd Frank/EMIR, MiFID (requirements and impact analysis)
Strong analytical skills and ability to understand and interact with technical teams on static data requirements and provision via Integration systems/APIs.
Proven delivery track record as Senior Business Analyst within financial services industry in complex systems landscapes with multiple stakeholders
Able to produce design and architecture documentation and drive the solutioning work.
Fluent with JIRA, Confluence, Visio, PowerPoint.
Able to act as a Senior Business Analyst with a strong grasp on the Functions impacted (FO, Operations). Familiarity with process documentation and modelling, workshop facilitation, business requirements documentation, gap analysis, solution design and support during delivery / testing phase)
Desirable but not Essential
Agile/ Scrum experience preferred
Understanding of big data & integration technology
Experience with JIRA
Standard settlement Instructions in Settlements space
Apply now to join the Bank for those with big career ambitions.


To view information on our benefits including our flexible working please visit our career pages. We welcome conversations on flexible working.",20:10:44,28/12/2020
8,Business Analyst,ANI Calls India Private Limited,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=487f2e59e09bc70e&fccid=3799fa8ac2d1edf2&vjs=3,None,"₹16,00,000 a year","Job Description : Provide support for resolving complex technical issues in SRM, LE, MM, SD & RE. Develops detailed technical design, estimates, and documentation for technical solutions in the assigned work areas based on the given functional s

Job Description :
Provide support for resolving complex technical issues in SRM, LE, MM, SD & RE.
Develops detailed technical design, estimates, and documentation for technical solutions in the assigned work areas based on the given functional specifications.
Provide support as part of Tier 3 technical support for Umoja SCM by performing analysis, troubleshooting, and finding a resolution for identified problems through system or data fixes, including creating and recommending of work-around solutions to address urgent requirements, if necessary.
Perform development, debugging, and unit testing of existing and new functionality in SCM business processes and resolve application systems integration and linkage issues.
Supports existing FRICEW objects, analyzing any defects/issues raised, applying OSS notes, supporting any issues with FRICEW, identified gaps and provide the solution(s), translate it to technical efforts, and estimate the work for the same.",20:10:45,28/12/2020
9,Business Analyst (New Grad) - India UHR,Cisco Systems,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=aa5b290118d3711f&fccid=dfc44f3b8c44a6db&vjs=3,4.1,None,"Job Description
In Cisco, we have an outstanding opportunity where we actually get to use the technology we build!
We are Innovators
We drive innovation to propel business transformation while maintaining operational quality.
We are Accelerators
We accelerate digital solutions to generate cost savings and efficiency gains for enterprise growth and success.
We are Transformers
As customer zero, we transform the customer experience by being our own customer first with agility, quality, and security, we continuously deliver business outcomes for our clients.

What You’ll Do
Depending on the Business Function/Team you would join, your responsibilities will include a combination of the following:

Analyzes complex business problems, leveraging business and technical expertise to deliver business outcomes.

Engages with business stakeholders and cross-functional teams to understand business requirements to deliver end-to-end solutions.

Provides technical expertise to advise on solutions, including standard products and features to address business issues and opportunities.

Defines and maintains architecture standards, to ensure that application portfolio is aligned with business strategy

Develops business process architecture to onboard new offers, RTM and monetization models

Be responsible for demos as part of the CI/CD process

Innovating solutions to real business challenges

Collaborating on multiple cross-functional projects

Analyzing internal processes, data, and problems

Identifying issues and areas for improvement

Identifying new business models and benefits from enabling new capabilities

Mapping internal processes

Who You Are Recent graduate or on your final year of studies towards a bachelor’s or master’s degree in Business, Management, Finance, Math, Accounting, Information Systems or related field from an accredited institution before the program start date Minimum of an 8.5 CGPA or equivalent The requirement is for 2021/22 passout only Excellent analytical, problem-solving and decision-making skills High levels of customer orientation and service excellence Efficient collaboration skills with internal / external customers and cross-functional teams Excellent communication skills, “Can do” attitude, proactive engagement, solutions seeking & team player in global environment Good time management skills and the ability to prioritize work capacity

Desired Skills: Delivering complex business solutions and managing business processes and policies Possesses general business knowledge (sales, finance, etc.), knowledge of Cisco products, and understanding of IT functions Detail oriented and data driven. Comfortable with data, process flows, and systems thinking.

Desired Competencies: Demonstrated leadership and management experience Able to combine technical and business considerations in analytical thinking Actively contributing to business planning and insights to support decision-making in short, medium and long-term periods Knowledge of industry practices and products

Why Cisco
At Cisco, each person brings their unique talents to work as a team and make a difference. Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people.
We connect everything – people, process, data and things – and we use those connections to change our world for the better.
We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.
We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture enthusiast? Many of us are. Passion for technology and world changing? Be you, with us!
Disclaimer - “ Please note this posting is to advertise potential job opportunities. The requirement is for 2021 /22 passout only. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.”",20:10:46,28/12/2020
