,Title,Company,Location,Link,Review,Salary,Description,Crawl Time,Crawl Date
0,Business Analyst,Audacia Ventures,"New Delhi, Delhi",https://in.indeed.com/company/Audacia-Ventures/jobs/Business-Analyst-bb7373afdea27a5f?fccid=a88daa7f9ef473dc&vjs=3,None,"₹35,000 - ₹45,000 a month","About Audacia Ventures
*
Audacia Ventures is a Canadian management consultancy that specifically focuses on helping its clients access traditional venture capital and non-traditional funding opportunities. Since 2013, we have helped early-stage startups raise over $20 Million in funding.
*
What We Are Looking For*
We are looking to expand our team with a Business Analyst who will help our clients get access to funding opportunities for market expansion. The successful candidate will be a strong communicator with keen business acumen.
Responsibilities
Communicate with our clients who operate in a variety of sectors – from gaming to real estate to tech startups. Understand their business model and operations through meaningful conversations during Discovery Calls that you will set up for this very purpose.
Prepare exclusive market expansion plans and strategies by combining your understanding from the Discovery Calls with your independent research and analytical thinking. Such strategies should adhere to a client’s business model and market expansion guidelines of the various funding organizations
Strategies will also entail developing a comprehensive budget for a proposed market expansion plan which must be realistic, defendable, and that dovetails with the activities within such plan
These market expansion plans and strategies are critical for securing funds for our clients from various competitive funding programs and as such these plans must be of the highest quality, and be created with high-levels of professional integrity and confidentiality
Get internal and external approvals on the market expansion strategy and submit the full funding proposal in a timely fashion to various funding organizations.
Be the primary point of contact to coordinate with the funding organization for responding to their queries, manage and ensure that all administrative conditions precedent to the release of funds are met in a timely manner.
Lead funding drawdown process by gathering supporting documentation and submitting claims to the funding organization. Develop and manage funding schedules to meet funding deadlines
Document, track, and manage funding progress of each client opportunity using robust project management best practices
Requirements
Impeccable written and oral English communication skills. Our clients and funding bodies are native Canadian English speakers and expect no language barriers in the professional services we provide to them
Par-excellence critical and analytical thinking skills
Superior writing skills with experience in creating business and marketing plans
Ability to communicate complex marketing and business strategies in a clear, coherent, and simple-to-understand manner
A technical background is a bonus, as there is the potential for the role to be expanded to include technical funding plan as well
Work Location
This role supports Freedom of Location. If you are an independent self-starter who can deliver results without needing constant supervision, there is an opportunity to work full time from a location of your choice.
*
Job Type: Full-time
Salary: ₹35,000.00 - ₹45,000.00 per month
Benefits:
Work from home
Schedule:
Monday to Friday
Experience:
Business Analytics: 2 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Yes",20:17:33,04/01/2021
1,Business Analyst,Caliber Hunt,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=9ed1b43619cdfe15&fccid=5b77d3541b42959f&vjs=3,None,"₹10,00,000 a year","Able to make Business Requirement Document (BRD), Solution Design Document, Software Requirement Specification. Have the ability to make wireframes as per BRD with excel, Word, Pencil, PPT, and other Generic Wireframe Tools.

Minimum 3-5 years Worked as a Business Analyst.
Excellent problem-solving skills.
Exceptional interpersonal skills.
Excellent written and verbal communication skills.
Analytical mindset.
Degree in Computer Engineering, Business Administration or related field",20:17:34,04/01/2021
2,Data Analyst,Shriram Automall India Ltd,"Delhi, Delhi",https://in.indeed.com/company/Shriram-Automall-India-Ltd/jobs/Data-Analyst-474ee9dace9484c9?fccid=7cac1ee82581a62c&vjs=3,3.6,"₹50,000 a month","Data Analyst:
Job Description
· Interpret data, analyze results using statistical techniques
· Data sourcing, integration and automation of data processing
· Understand business requirements and provide insight using data for decision making
· Able to validate the accuracy of analysis with different tools and data.
· Work alongside software and business team
Data Analysis in Auto Industry
Do you like working with data? Does your motivation come from working on challenging assignments? Do you visualize data? Do you love solving business problems and discovering insights using data and statistical analysis. We have a right opportunity for you.
About the Data Cell Department
Shriram Automall founded in 2011, now India’s largest online and offline auction company with presence in 90 locations in PAN India producing extensive data for years. The data cell team has good blend of experience and fresh perspective and comprises statisticians, data analyst and programmers. The core purpose of the Data Cell is to carry out quantitative and qualitative analysis to build decision making products focused at business or consumer.
Responsibilities:
· Collect data from various sources and pre-processing.
· Designing data
· Data visualization
· Assessing results
· Trend analysis
· Applying statistical methodology to complex data
· Designing and implementing data gathering/management computer systems and software
· Assists business analysts with finding patterns and relationships in data.
· Builds predictive models using data, tests the model on results outside of the sample size and verifies model in real world.
· Determines relevant quantitative methods for solving client issues.
· Develop, evaluate and improve internal tools and processes.
Qualifications
· Bachelor / Masters degree
· At least 1 year of experience working as a data analyst.
· Data models, database design development, data mining and segmentation techniques
· Strong knowledge and experience with databases (SQL etc), programming –Python/R
· Good knowledge of statistics and statistical packages.
· Attention to detail and accuracy.
· Domain knowledge/expertise (Auto) is preferred though not mandatory.
Job Type: Full-time
Salary: Up to ₹50,000.00 per month
Schedule:
Day shift
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",20:17:35,04/01/2021
3,Business Analyst,KBR,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=4b8cf6733c621ad6&fccid=cbfa56f19cc95796&vjs=3,4.1,None,"Title:
Business Analyst
POSITION DESCRIPTION:
Alliance Strategy and Planning: With input from the Technology Leads, support strategic planning (short & long term) and alliances & acquisitions (A&A) activities for KBR Technology Solutions business and plans including objectives by technology area and by region. Alliances in planning and tracking ongoing progress
Database Management: Develop & Maintain industry database with focus on, petrochemical feedstock, substitution, economic growth, regional growth, end-use product trends, supply/demand forecasts, market projections, technologies and new developments to assist in the research of potential growth areas
Market Research: Conduct market research and networking to identify expertise in identified growth areas
Opportunity Management: support strategic alliance and acquisition activities by engaging in market analysis, competitive analysis, financial modelling, business case development and internal approvals documentation coordination, Help to create and implement business strategies to effectively position TS business in the marketplace
Business Recommendations: Based on emerging industry trends, competitive dynamics, expansion opportunities, new business model opportunities and business performance enhancement
Scheduled Weekly Hours:
40",20:17:36,04/01/2021
4,Business Analyst,MedTourEasy,"New Delhi, Delhi",https://in.indeed.com/rc/clk?jk=1f37fe2b2907491b&fccid=aa170b94b6f3f104&vjs=3,None,"₹7,00,000 a year","We are looking for a Business Analyst who will be the vital link between our information technology capacity and our business objectives by supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our software product’s features.

Responsibilities

Define configuration specifications and business analysis requirements
Perform quality assurance
Define reporting and alerting requirements
Own and develop a relationship with partners, working with them to optimize and enhance our integration
Help design, document and maintain system processes
Report on common sources of technical issues or questions and make recommendations to the product team
Communicate key insights and findings to the product team
Constantly be on the lookout for ways to improve monitoring, discover issues and deliver better value to the customer
Requirements

Previous experience in Business / Systems Analysis or Quality Assurance
A degree in IT / Computer Science
Proven experience in eliciting requirements and testing
Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools
Solid experience in writing SQL queries
Basic knowledge in generating process documentation
Strong written and verbal communication skills including technical writing skills",20:17:37,04/01/2021
5,Pricing Analyst,NAUKARI MARKET,"Delhi, Delhi",https://in.indeed.com/company/NAUKARI-MARKET/jobs/Pricing-Analyst-702a249695ef11fd?fccid=c1c97fe27fb7c308&vjs=3,None,None,"To ensure that the rates are quoted on time by the Pricing team. Pharma quotation & handling as per Pharma regulation.
To address all the escalations related to team, airlines and customers
Any grievances need to be resolved within 24 hrs.
To ensure there are no service irregularities and customer complaints. Monitoring of CAPA.
To establish good relations with airlines
To ensure that the Pricing team is achieving the monthly targets set
To ensure an increase in business by maximizing the strike rate of Pricing team
To ensure that all the documentation related to shipments are complete and maintained without any errors by both Pricing and Customer Service teams.
To ensure that the customers are updated from time to time on their shipment status
Job Types: Full-time, Walk-In
Schedule:
Flexible shift
Supplemental Pay:
Yearly bonus
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Required)
Speak with the employer
+91 9893868525",20:17:40,04/01/2021
6,Business Analyst,LabourNet Services India Private Limited,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=60dd7455895ebc08&fccid=1c4eed0be84777a2&vjs=3,3.8,None,"Location: Delhi/Bangalore
Job Role: Inside Sales
Job Title: Business Analyst
Job Description:
Understanding the current startergy of the company and generating prospective leads for colabration with various clients.
Conducting secondary research on the current and future upcoming sectors in India.
Experience: 5-6 years
Type of Employment: FTE",20:17:41,04/01/2021
7,Business Analyst,KENT,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2d6dd08e44fcddef&fccid=c6cdf6d37911b08b&vjs=3,3.6,None,"Techno BA/Product Support Manager

Job Description
Interacts with customers, subject-matter experts, and other key stakeholders to gather requirements and communicate enhancements.
Interacts with system architects and technical team and acts as a bridge between end customer and technical team
Understands the existing system architecture and functionalities and communicate with stakeholders , while understanding their issues and proposing solution after discussion with tech teams
Defines the system and functional requirements of the product and proposes solutions
Understands business requirements and functional specifications.
Serves as a resource and/or participant in business process re-design activities. Assists the customer in determining if and how system enhancements may improve process flow and business function.
Responsible for creating business requirements and system documentation, as well as contributing to end-user and project management documentation.
Works with quality assurance and programming teams to ensure changes are migrated into production correctly.
Interacts with technical teams to convey business requirements.
Requirements
Minimum of 5+ years of experience in one of the following roles: IT business analysis, systems analysis & IT systems support
Ability to quickly grasp complex technical concepts and make them easily understandable in text and pictures
Excellent written & spoken skills in English
Experienced in stakeholder management
Understanding of IT processes, IT Architecture, IT Management
Strong working knowledge of Microsoft Office
Basic familiarity with the SDLC and software development concept & IT systems terminologies
University degree in Computer Science, Engineering or equivalent preferred
Full time MBA-Good to Have",20:17:42,04/01/2021
8,"Financial/Business Analyst, Fresher, Finance Assistant, Fina...",Unicca Emporis Private Limited,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=3b04212306dec73f&fccid=bcd2d453bd87016a&vjs=3,None,"₹12,50,000 a year","gathers and monitor financial data (e.g. Sales revenues and liabilities). Prepare monthly, quarterly and annual statements (balance sheets and income statements). Forecast costs and revenues. Manage tax payments. Organize internal audits. Prepare bud

Punctuality for all work-related events.
Always looking for ways to improve your skills
Coming to work on time
A positive attitude toward your job in general.
Flexibility when assigned work tasks.

To know more about this job email us your Resume - Apply@metromechanicals.com

Or For more information WhatsApp your resume to this number Now 9540010237 (In Word/PDF Format Only.)",20:17:44,04/01/2021
9,Business Analyst: Product Developmemt,Sentieo,"New Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2ef67155474782a8&fccid=edf61cc3a19552f1&vjs=3,None,None,"Sentieo is powering the future of financial and corporate research in a $30B market. Our vision is to create a world where competitive organizations have the insights they need to win. Built by former hedge fund analysts, we empower competitive investors and corporations to rapidly discover insights so they can make smarter investments and execute winning strategies. Supporting a global customer base of over 900 clients, we are excited to propel Sentieo into the next phase of our company’s global growth - from advanced, unprecedented product development to accelerated team scaling and expansion. Join our team as we reimagine the future of fintech.

The Business Analyst will be fully embedded within the full project life cycle, liaising directly with product owners, developers, operational teams, QA and management to deliver core analysis and support. They will own deliverables within the project and be responsible for completing these while serving as intermediary between technical teams and Product Owner(s) and working closely with Project management. They will be responsible for creating and capturing requirements, tracking changes, identifying risks and issues for escalation, and monitoring and reporting on work and progress.
Responsibilities
Scheduling and facilitating requirements gathering sessions
Researching, understanding and documenting customer and user requirements
Working with management, stakeholders, team leads, designers/artists and others as needed to help refine a product backlog of user stories for agile development
Elaborating on requirements and user stories through supporting artifacts such as user/process flow diagrams, wireframes, data models, scenarios, Excel matrices, and others as needed
Creating functional specifications that capture all interface behavior for all types of users of the system and any front end or back end business rules.
Supporting the development team by communicating requirements and functional specifications
Triage issues (defects/bugs) with the QA team to ensure alignment with the defined requirements and providing responses to issues as well as keeping documentation up to date
Engaging with release managers to review and approve finished development work before release into production
Participating in Scrum ceremonies and other team meetings and activities as appropriate
Monitoring and reporting on progress and deliverables
Requirements
2+ years of technology experience
4+ years of experience working in a Business Analyst role within a technology organization
Bachelor or equivalent degree in Business or Computer Science preferred
Excellent analytical skills, attention to detail and problem-solving abilities
Experience developing user stories, functional specifications, wireframes, scenarios, matrices, and other common business analysis artifacts
Solid team attitude, able to work successfully as a team player
Good written and verbal communication skills, able to provide timely and concise reports and communications and interact with multiple groups and levels.
Ability to work with clients at different organizational levels
Ability to work in a fast-paced and complex environment with the time management skills to meet deadlines
Fast learning capacity and ability to work in a fast-paced development environment. Strong technical documentation skills especially with Word, Excel, etc.
Initiative and a strong desire to produce results in a dynamic organization
Experience working in Microsoft TFS or another similar tool
Experience in software development AGILE/Scrum project methodology
Thorough understanding of full SDLC
EEO

Our company values diversity and believes diverse teams make innovation possible. We work on complex, difficult problems with no linear or clear solutions. We believe that a diverse team can bring different perspectives and approaches, and whose experiences reflect the full set of clients we seek to serve. As such, Sentieo is committed to a diverse representation among our employees.",20:17:46,04/01/2021
