,Title,Company,Location,Link,Review,Salary,Description,Crawl Time,Crawl Date
0,Business Analyst,Standard Chartered,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=726a60fde818cc84&fccid=5249cd8e17163cb5&vjs=3,4.1,None,"Job: Technology
Primary Location: ASEAN & South Asia-India-Bangalore
Schedule: Full-time
Employee Status: Permanent
Posting Date: 29/Dec/2020, 12:30:00 PM
Unposting Date: Ongoing
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.


To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.


We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.


The Role Responsibilities


Responsibilities
Work closely with business stakeholders & upstream SME’s to ensure Functional and Non-Functional requirements are clearly understood and aligned with agreed project objective
Data analysis to establish linkage for end to end flow and lifecycle
Own and create Solution Specification documentation such as Traceability Matrix/FSD/TSD for assigned work area and assist in creation of test strategy and plans ensuring complete traceability.
Create high quality Documentation to capture data linkage and lifecycle by product using tools like Word, Visio, Mind Map etc.
Follow agile process for workstreams delivered through agile methodology
Ensure deliverables meet SCB Governance standards
Ensure projects deliver more stable systems into production
Tracked all issues to a satisfactory closure during all stages of testing using JIRA.


Our Ideal Candidate


Skills Required
Functional:
Communication Surveillance process and systems like Outlook, Reuters, Bloomberg
Earlier experience and Domain Knowledge in Communication Surveillance and Alert Life Cycle
Business Solution experience to onboard new sources like Microsoft Teams, Moxtera, Zoom etc..
Very good knowledge of Tableau Self Service Dashboard / Report creation
Must have experience to engage Business Stakeholders for collecting and documenting requirements
Technical:
Solid data analysis experience including tools like Excel, VBA, Shell scripting or Java programming skills.
Experience in Tableau is a must
Experience with Big Data technologies such as Java / Hadoop is a plus
Others:
Education – Degree or above in Information Technology, Computer Science or equivalent
Excellent verbal and written communications skills
Good knowledge of release process and control procedures.
Strong experience in dealing with geographically diverse teams located globally
Apply now to join the Bank for those with big career ambitions.


To view information on our benefits including our flexible working please visit our career pages. We welcome conversations on flexible working.",18:06:24,31/12/2020
1,Senior Business Analyst,Bluenest,"Bengaluru, Karnataka",https://in.indeed.com/company/A-k-pani/jobs/Senior-Business-Analyst-48cd67c7a8d8e26a?fccid=96650ef2c3a9be4a&vjs=3,None,"₹6,00,000 - ₹12,00,000 a year","Job Description
Define configuration specifications and business analysis requirements
Perform quality assurance
Define reporting and alerting requirements
Own and develop a relationship with partners, working with them to optimize and enhance our integration
Help design, document and maintain system processes
Report on common sources of technical issues or questions and make recommendations to the product team
Communicate key insights and findings to the product team
Constantly be on the lookout for ways to improve monitoring, discover issues and deliver better value to the customer
Job Requirements
Minimum 6 years of experience in a similar field
Bachelor's Degree in the appropriate field of study or equivalent work experience Microsoft Access and/or SQL experience strongly preferred
Ability to impact operations and effect change without being confrontational
Detail-oriented, analytical and inquisitive
Ability to work independently and with others
Extremely organized with strong time-management skills
*
Job Type: Full-time
Salary: ₹600,000.00 - ₹1,200,000.00 per year
Schedule:
Day shift
Experience:
Business Analyst: 6 years (Required)
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process",18:06:25,31/12/2020
2,Business Analyst,WEN,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=ffc189b546de1c93&fccid=42ece8b4b3955811&vjs=3,None,None,"Urgent Req. for the Post of Business Analyst at Bangalore Location.
Roles and responsibilities:
This is like a business analyst role in an IT company.
Candidate needs to understand our ERP, work on various business aspects of it like adding distributor, managing price masters, adding sales schemes, pulling data from ERP, checking data from ERP etc.
Candidate needs to continuously monitor ERP and DMS (Distributor management system) for any bugs.

Working Days:
Monday to Saturday
Work Location:
Bangalore
If you are interested then Please send us your updated Cv with your current and expected CTC in word format.
Rashmi Tambutkar
Mobile : 9004319460
rashmit@wen-jobs.com
WEN | Creating Opportunities.
www.wen-jobs.com",18:06:27,31/12/2020
3,HR Business Analyst - Reporting,Ernst & Young,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=4d6881929d1f5de2&fccid=1544766d4c2915b0&vjs=3,4.0,None,"The opportunity

The team is seeking high-caliber data analysis and analytics professional with a specific focus on, data investigation, predictive modeling, and data visualizations to deliver strategic insights to decision makers. The person in this role requires strong client relationships with our most senior leaders. This is an important position requiring both technical knowledge and business awareness, providing challenging opportunities for motivated individuals to contribute to the strategic direction of achieving our NextWave ambitions.

Your key responsibilities

We support the Talent team and its Global leaders by creating a strategically driven measurement portfolio including: decision supporting dashboards, reports, and deep dive analyses. Successful candidates will build key partnerships with Talent leaders to understand and deliver on business needs
Consults with our senior leadership in Global Talent Centers of Expertise such as HR Enablement, Total rewards, Field Services, Recruiting, Talent Development, Talent Shared Services and Performance Management to understand their strategic imperatives. Provides exceptional service by being connected, responsive and Insightful. Understands their needs and business questions to determine the right approach for analysis and what to deliver.
Maintain strong business relationships with key stakeholders (including the Executive Layer), Global Talent Function and HR Services teams) to keep on the pulse of what is important to leadership and build relevant analysis and interpretation.
Establishes credibility by demonstrating an understanding and keeping current on Talent Analytic trends, research and tools. Generates innovative ideas to employ in deliverables.
Independently drive the successful delivery of projects and products using strong project management and deployment focused activities.
Analyzes and clearly presents data and other information to identify significant trends or key issues, provides recommendations based on key trends and forecasts. ,
Produce analysis and visualizations through cutting edge technologies such as PowerBI, or Spotfire.
Generates innovative ideas and solutions that improve products, insights and our ability to efficiently deliver.
Support global and local workforce planning processes by facilitating planning activities, communications, and escalations


Skills and attributes for success
Strong design aesthetic and visualization skills
Good operational experience or knowledge with HR processes and systems related to workforce reporting, recruiting, learning, performance management and overall people data
Extensive reporting experience including knowledge of process and data usage. Knowledge of standard metrics and key performance indicators
Expertise in providing in depth HR data insights using Excel and visualisation tools such as power BI and/or Tableau.
Strong experience with developing actionable management dashboards for HR or Talent organizations.
To qualify for the role you must have
3 to 5+ years of reporting and dashboard experience
Strong relationship and interpersonal communication skills
Have proven extensive relevant experience in understanding People data analysis and reporting
Proven track record of working with clients in Talent teams
Bachelor’s degree required
Possible certification in Data analytics and Data visualization
Ideally, you’ll also have
SuccessFactors implementation knowledge
What we look for

An enthusiastic and motivated individual who loves to be able to tell a story using a range of data analytics tool, linking insights to the business strategy. An individual who can create data analytics tools, link in with our PDRA servicer and consult effective with business leaders.",18:06:29,31/12/2020
4,Mgr Business Process Analyst,Teva Pharmaceuticals,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=3426f7e1953f6edb&fccid=898362c5e54ec4c7&vjs=3,3.7,None,"Validation Expert (X 5):
Validation expert will be responsible to all validation deliverables in a GxP environment.
Defining validation and tests plan for the systems according to system developments life cycle (SDLC)
Responsible for writing & reviewing validation documents, including test scripts, test plan and summary reports
Execution and Management of the test plan, test execution, system versions and defects at the gALM system
Management of the system changes by using MKS system and the validation related activities
Works closely with project managers and gives support on validation issues
Qualifications
Required experience & qualifications:
Information systems/Software engineer
8+ years of experience in validation & software testing
Experience with validation documents writing, such as, validation plan, test plan, test summary report
Experience working in a GxP environment and Pharma companies
Experience working with testing tools, such as HP Quality Center
Excellent English- speaking & writing
Team player & good communication skills
Fast learner
Advantage for SQL queries writing and automation of testing
Function
Information Technology
Sub Function
Business Process Analysis
Reports To
In process of validation
Already Working @TEVA?
If you are a current Teva employee, please apply using the internal career site available on ""Employee Central"". By doing so, your application will be treated with priority. You will also be able to see opportunities that are open exclusively to Teva employees. Use the following link to search and apply: Internal Career Site
The internal career site is available from your home network as well. If you have trouble accessing your EC account, please contact your local HR/IT partner.",18:06:30,31/12/2020
5,Business Analyst,Mantra Labs,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=73ccae743a181002&fccid=3a48e4fa4e0e21a7&vjs=3,3.7,None,"Job Title:
Business Analyst
Job Description:
Work with mainly Insurance domain.

Capture the requirements in the form of Requirement documents.

Ability to handle multiple tasks, willing to go the extra mile.

Should be Subject Matter Expert in Insurance field.
Experience Range:
2 - 4 years
Educational Qualifications:
Any graduation,
Job Responsibilities:
You also meet most (if not all) of the following requirements:

2-4 years of relevant experience

At least 2 years experience in Retail Banking Systems and Insurance(Health, Life etc) domains

Expertise in creation and definition of Business Requirement Documents

Bachelors degree

Excellent communication ,presentation and documentation skills
Skills Required:
Excellent communication, presentation and documentation skills,
Candidate Attributes:
Passionate about work.
Loves to work in team
Job Code: KL-YRHUQPY3",18:06:31,31/12/2020
6,Business Analyst,Ampcome Technologies,"Bengaluru, Karnataka",https://in.indeed.com/company/Ampcome/jobs/Business-Analyst-30b1b00d2f761cbb?fccid=8d01f9794deb52ed&vjs=3,None,"₹20,000 - ₹1,00,000 a month","Develop a deep understanding of end users and clients
Ensure accurate flow of client ask, information from product managers to develop error free stories for development
Defining scope of the build or project with architects and PMs
Interact with the technology team and help them understand the business aspects of the solution
Prepare use cases, business requirements documents (BRD), system requirements specification (SRS) documents and other functional documents
Performing basic level of acceptance testing
Work with the end users/clients to help them understand the changes/new solution
Expected Start Date: 7/12/2020
Job Type: Full-time
Salary: ₹20,000.00 - ₹100,000.00 per month
Schedule:
Monday to Friday
Experience:
business analysis: 3 years (Required)
total work: 3 years (Required)
Web / Mobile App Development: 3 years (Preferred)
Education:
Bachelor's (Required)
Speak with the employer
+91 8971444922",18:06:32,31/12/2020
7,Business Analyst,ANZ Banking Group,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=b545818367f62171&fccid=82e2c70af47d511b&vjs=3,4.1,None,"Requisition Title -
Business Analyst
Job Number: - IND026737
Description

An innovative, flexible and collaborative work environment
Be part of an organization that values diversity, inclusion, and respect
Come work for an adaptive, resilient, and socially responsible organization

About The Role
Role Location: Bangalore
Role Type: Full Time
Shift Schedule: Flexible


The Business Analyst responsible for working with the Chief Product Owner/Head of Change, the Project Director/Project Managers, Technology and the Lead Business Analyst to deliver a series of projects across ANZ in International Operations covering eSignatures, machine learning and a number of customer facing initiatives, with oversight across the Business Analysis of International Operations Strategic Automation initiatives.

Key Responsibilities

Drive your professional growth through rising to these challenges:
Discuss the design/technical requirements with the architects to ensure synergy and smooth integration
Analyze business needs, gaps and issues and performs business impact analysis and recommends best possible solutions working with technology team and within the functional coverage and capabilities of the product
Drive and coordinate the software business modeling and requirement collection by outlining and delimiting the solution being modeled
Support the delivery team on development time clarification and work back with the business if solution has to be revised
Communicate effectively with the business to identify needs and evaluate alternative business solutions with project management.
Work with Software architects and Development Leads in challenging the best solution for the business. Consistently deliver high-quality services to the business and manage their expectations effectively

About you
9+ years of relevant experience in Business Analyst
Experience in successfully conducting and documenting the business analysis in large scale complex projects on application development and managing multiple stakeholders and partners.
Ability to highlight and recommend the business impact of decisions in a timely manner
Highly structured communicator problem solver, with the ability to break down complex problems and work through them
Experience in implementing projects in Financial and Banking sector
Knowledge of JIRA and Confluence as well as AGILE methodologies
Independent person with strong sense of work commitment and presentation skills, and ability to handle fast-paced environment

About ANZ
At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. We're just as focused on seeing our people thrive as well as our customers. We'll give you every opportunity to develop your career.
We are responding faster to changing customer requirements, focusing on the things that matter the most, energizing our people, eliminating waste and reducing bureaucracy. A happy workplace is a thriving one. So in order to attract and keep the best talent, and say thanks for the hard work, we make sure all our employees are rewarded.
ANZ recognizes the value of an inclusive and diverse work environment. We take pride in the diversity of our people and encourage applications from diverse candidates. Our recruitment decisions are based on the key inherent needs and requirements of each role, and candidates are selected based on their unique strengths and characteristics.


We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you.
To find out more about working at ANZ or to view other opportunities visit www.anz.com/careers. You may apply for this role by visiting ANZ Careers and search for reference number IND026737",18:06:33,31/12/2020
8,Data/Information Mgt Analyst 1,Citi,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=130be53aadcf3d73&fccid=5bcd1ef0a7f4fb99&vjs=3,3.9,None,"The Data/Information Mgt Analyst is a trainee professional role. Requires a good knowledge of the range of processes, procedures and systems to be used in carrying out assigned tasks and a basic understanding of the underlying concepts and principles upon which the job is based. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Makes evaluative judgements based on the analysis of factual information. They are expected to resolve problems by identifying and selecting solutions through the application of acquired technical experience and will be guided by precedents. Must be able to exchange information in a concise way as well as be sensitive to audience diversity. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own job.

Responsibilities:
This function covers incumbents responsible for various data activities, which include database administration, data analysis, maintenance, data quality, and database management or database architecture / design engineering
Responsible for routine operational or administrative work
Day-to-day actions are focused on administering defined procedures, analyses and report preparation
Individuals will have their work thoroughly reviewed and checked by more senior incumbents and will have limited contact outside their immediate area
Daily deliverable of routine and defined outputs, while at the same time developing knowledge of the broader context in which the work is being performed
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:
Previous related experience preferred
High attention to detail
Customer service skills

Education:
Bachelors/University degree or equivalent experience

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
-
Job Family Group:
Decision Management
-
Job Family:
Data/Information Management
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",18:06:35,31/12/2020
9,Business Analyst (New Grad) - India UHR,Cisco Systems,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=aa5b290118d3711f&fccid=dfc44f3b8c44a6db&vjs=3,4.1,None,"Job Description
In Cisco, we have an outstanding opportunity where we actually get to use the technology we build!
We are Innovators
We drive innovation to propel business transformation while maintaining operational quality.
We are Accelerators
We accelerate digital solutions to generate cost savings and efficiency gains for enterprise growth and success.
We are Transformers
As customer zero, we transform the customer experience by being our own customer first with agility, quality, and security, we continuously deliver business outcomes for our clients.

What You’ll Do
Depending on the Business Function/Team you would join, your responsibilities will include a combination of the following:

Analyzes complex business problems, leveraging business and technical expertise to deliver business outcomes.

Engages with business stakeholders and cross-functional teams to understand business requirements to deliver end-to-end solutions.

Provides technical expertise to advise on solutions, including standard products and features to address business issues and opportunities.

Defines and maintains architecture standards, to ensure that application portfolio is aligned with business strategy

Develops business process architecture to onboard new offers, RTM and monetization models

Be responsible for demos as part of the CI/CD process

Innovating solutions to real business challenges

Collaborating on multiple cross-functional projects

Analyzing internal processes, data, and problems

Identifying issues and areas for improvement

Identifying new business models and benefits from enabling new capabilities

Mapping internal processes

Who You Are Recent graduate or on your final year of studies towards a bachelor’s or master’s degree in Business, Management, Finance, Math, Accounting, Information Systems or related field from an accredited institution before the program start date Minimum of an 8.5 CGPA or equivalent The requirement is for 2021/22 passout only Excellent analytical, problem-solving and decision-making skills High levels of customer orientation and service excellence Efficient collaboration skills with internal / external customers and cross-functional teams Excellent communication skills, “Can do” attitude, proactive engagement, solutions seeking & team player in global environment Good time management skills and the ability to prioritize work capacity

Desired Skills: Delivering complex business solutions and managing business processes and policies Possesses general business knowledge (sales, finance, etc.), knowledge of Cisco products, and understanding of IT functions Detail oriented and data driven. Comfortable with data, process flows, and systems thinking.

Desired Competencies: Demonstrated leadership and management experience Able to combine technical and business considerations in analytical thinking Actively contributing to business planning and insights to support decision-making in short, medium and long-term periods Knowledge of industry practices and products

Why Cisco
At Cisco, each person brings their unique talents to work as a team and make a difference. Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people.
We connect everything – people, process, data and things – and we use those connections to change our world for the better.
We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.
We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture enthusiast? Many of us are. Passion for technology and world changing? Be you, with us!
Disclaimer - “ Please note this posting is to advertise potential job opportunities. The requirement is for 2021 /22 passout only. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.”",18:06:36,31/12/2020
