,Title,Company,Location,Link,Review,Salary,Description,Crawl Time,Crawl Date
0,"Analyst, Sales Operations",Dell Technologies,None,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tRzFjGPTfOsHtofd8KvbOQaoPeNBor2PzuFPvqEoOJiUHNM9nplIkvZtB5pAPZeuM9wdOOZNdgwwjLuR35e6xFUqR9TG2og0eSPsJhKLcyYlACRSMot8lmrMBLiToj6CjSarL8CNK0FZGxAc3b-e7IX-R_rYc5fveXfcCTY42ciXQOBqwBZWN9N5cH9uDuiRd9BLiyjPw5fmbpiQslyiWtsgNX1VWR5PrmLgOzviRCdVSMlVQyZ1ffnf35rXawb5pRDu1qF3RmAxdxbf-r4hm7PhJpwMXDOKfqLf-bfBtuXBmvRyKMyT_ighB9xb5ol06qipf6NWMGFp6vefKbMvWFAJO5YB2srgc9C2iiy-Q9YIdINTtRS9QhYmFCHI-4lL5hir8HIOGD4ExlblhIsUXlBTu9F2PE7tgmoZNMwgglH3-W1bhCn2y7zM7PLMim4c9r_3FB0SVwFv7Ei9QzV8TSuHJPqVIsxq4bmAikFYwD1asrlRziSTseaUWUuXsJDenGiYEoOWXGoJ0fhtBglXfJ5JiPS1NFDkXcH1OT7N0hXCxawmavTffobUcWSrZHKmVfjhpoKlTGGUVaVBmus4mGUORTj5bLLO7GbzE8Ivag2SON0OUTzDgCt9y_vHEhc3zw7UvW_EHmtHAx2EGSjDBDDlfNEPPTfqVVGSf_BGF6U7QHzhSa7CN7tdcgoZC2grbivtJwP4L4X9uPhDFaHjAGtK0bbBRLO0D09b7bw9yRZDtm8V1ipz-lIvXtFRBlp8Gz0GwwfkgmR36lRZi7_PdMl9H8NgRA86DAxHALnZjgYRNCuxrplyQKf1cs5FAjbdk175gLsIbdLZwYxopi7RLYHdZmsmK17CQ07psreVRkqnPotcnMkj3NcukZ6Vx3KJ8brHPOPnVLzq31B3kTuQAi2qMfBzRtJJvC0KnW0rniSHeOpsNhon5eOP1GPet09QmFEiS4iM4u2x&p=0&fvj=0&vjs=3,4.0,None,"Sales Operations Analyst
Bangalore
Company Description:
Dell provides the technology that transforms the way we all work and live. But we are more than a technology company — we are a people company. We inspire, challenge and respect every one of our over 100,000 employees. We also provide them with unparalleled growth and development opportunities.
Why Work For Us:
Dell is primed to recruit the best and brightest candidates from all across the globe. We take pride in fostering a winning, innovative, inclusive employee culture. We also take calculated risks and we celebrate big victories when they pay off.
Our Employee Value Proposition:
Our Culture Code unites us and makes us a great family of companies and a great place to work. It’s how we run the business, go to market, work together and provide inspirational leadership. Our culture code is defined by our values and are made real every day by defining expectations for how we work and how we lead.
Job Description:
Develop and manage sales measurement models and diagnostic tools to help identify sales performance indicators, key areas of opportunity and sales force training and development needs. Analyze strategic priorities, sales force performance metrics and sales effectiveness tracking methods in order to maintain and improve the company’s competitive advantage in the market.
Evaluates sales growth strategies, develop new analytical tools and processes, recommend and implement sales force performance strategies and tracking models on the basis of analytical findings. May serve as primary interface with other internal functions, based on BU and/or regional requirements Responsible for influencing sales behavior and capabilities
Collects, analyzes and interprets a wide variety of area sales data and develops regular forecast reports Performs necessary analysis and Financial summaries pertaining to all bonus payments. Learns basic sales measurement models and diagnostic tools to help identify sales performance indicators, key areas of opportunity and sales force training needs.
Key Responsibilities:
Perform detailed data analysis (i.e. determine the structure, content, and quality of the data through examination of source systems and data samples)
Troubleshoots issues with standard reports and works with end users on reporting difficulties.
Perform end to end data validation to maintain accuracy of data sets.
Takes ownership for quality of work deliverables and process adherence with guidance.
Detect data inconsistency or quality issues, investigate their root causes and drive data quality improvements.
Create ad-hoc and recurrent reports and dashboards, providing detailed business information to leaders, from accurate and verified sources.
Create documentation for processes and reports from a business and technical perspective.
Create data visualizations (reports and dashboards) using tools such as PowerBI or Tableau as required to support business requirements and give stakeholders ongoing visibility into key metrics.
Required Skill set:
Typically requires less than 2 years of related experience in a professional role with a Bachelor's degree.
Working proficiency with SQL, on relational database concepts and building dashboards.
Strong analytical, quantitative, problem solving, and organizational skills; attention to detail.
Statistical analysis and mathematical skills.
Benefits
We offer highly competitive salaries, bonus programs, world-class benefits, and unparalleled growth and development opportunities — all to create a compelling and rewarding work environment.

If you want to be at the forefront of world-class customer, operational and business support in a sales organization, this is your opportunity to develop with Dell.

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Dell here.",20:12:21,02/01/2021
1,MIS/Data Analyst - ElasticRun,ElasticRun,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=995c69d329a9fdda&fccid=f3dbb9843cac0cc0&vjs=3,1.5,None,"Job Description
Roles and Responsibilities
Location :Bangalore

Roles and Responsibilities:
Category Report
Target and Tracking Report
Performance Report
Sales Report
Revenue Report
Warehouse Report
Service Metric and Analytical Reports
Along with these reports also works in
Preparing ad hoc reports with requirements.
Interacting and Meeting with state leads and portfolio leads for their planning and analytics.





Salary: Not Disclosed by Recruiter
Industry:Internet / Ecommerce
Functional Area:Sales, Retail, Business Development
Role Category:Sales Support
Role:Sales Coordinator
Key Skills
misData Analysissql
Desired Candidate Profile
Please refer to the Job description above
Education-
PG:Post Graduation Not Required
Doctorate:Doctorate Not Required
Company Profile
NTex Transportation Services Private Limited
NTex Transportation Services Private Limited

Contact Company:NTex Transportation Services Private Limited
Website:http://careers.elastic.run",20:12:23,02/01/2021
2,Product Analyst,Mitron TV Pvt Ltd,"Bengaluru, Karnataka",https://in.indeed.com/company/Mitron-TV-Pvt-Ltd/jobs/Product-Analyst-7950a5abeea3e6bb?fccid=7386972f3f68370c&vjs=3,None,"₹10,00,000 - ₹20,00,000 a year","Mitron - A series funded startup in short video making app developed by two friends turned co-founders Shivank Agarwal and Anish Khandelwal, Mitron clocked over 35 million downloads on Google Play Store within a month. Built over the last few months by the duo, the app quickly rose to fame
Hailed as India's answer to Chinese company ByteDance-owned TikTok, Mitron's popularity could mainly be a result of recent controversies around 'objectionable content' on the former. Millions of Indians were uninstalling TikTok, and chose Mitron instead.
https://yourstory.com/2020/08/techie-tuesday-anish-khandelwal-makemytrip-mitron-tiktok
https://www.livemint.com/companies/news/short-video-app-mitron-raises-5-million-in-series-a-funding-11597679201866.htmlOVERVIEW
We are looking for smart, humble individuals who would help drive an analytical and data-based decision making for our Product function. Short video content is a highly competitive market in the social media world and designing a platform that incentivises content creators to create great content is a challenging problem. We are looking for individuals who find excitement in finding solutions in data and solving real world problems.
Key responsibilities:
- Conduct data analysis to make recommendations to marketing, product and engineering team
- Deliver effective insights of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information
- Collaborate with Data Engineers to plan and execute effective analytics and tracking for new feature releases.
- Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for business priorities
Requirements:
- Relevant experience working in a product function preferably at a social media or e-commerce platform
- At least 1 year of experience working on new releases in an app or web platform in the capacity of a product analyst
- Interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
- Working knowledge of A/B testing, SQL, R\Python, Excel, Tableau or comparable BI tools
- Demonstrated strong business acumen, an ability to translate analysis results into
recommendations, and excellent written and verbal communication skills
- Ambitious mindset with an appetite to learn and grow within the organisation in terms of role and responsibility
Perks and Benefits
- Join the next Unicorn
- Flat Structure
- Rapid Growth
- Fun working environment
- Work from home
- Excellent salary and Employee benefits
Excited to join our growing team? Tell us more by dropping your cover letter and
resume.
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹2,000,000.00 per year
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Paid time off
Work from home
Schedule:
Day shift
Flexible shift
Monday to Friday
Supplemental Pay:
Performance bonus
Experience:
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes",20:12:24,02/01/2021
3,Data Quality Analyst,Introlligent,"Bengaluru, Karnataka",https://in.indeed.com/company/Introlligent/jobs/Data-Quality-Analyst-47926907bcfa6cc8?fccid=b84bd6a5a98f3801&vjs=3,4.0,None,"Job Expectations:
Experience with Data Quality initiatives (data profiling, improvement, accuracy, completeness, data integrity, data stewardship, and data governance)
Hands on experience in writing Sql queries to pull out the data from very large databases is required.
Python Scripting experience would be a plus.
Ability to investigate anomalies and proactively solve the problems
Able to work within a fast-paced environment with quickly changing priorities. Must be a fast learner and willing to learn independently
Job Responsibilities:
*
Gather business understanding of manufacturing operations and how it relates to the data collected
Utilize various technologies as per need to retrieve data for analysis – Big Data tech stack used includes Hive, Hbase, ElasticSearch, Druid
Write complex sql queries to pull out data from Large Oracle Databases and perform root cause analysis of data issues and tracking the resolution of the same
Write Hive queries to load metrics data into datasets that are showcased in Tableau
Write Python scripts to pull data from Druid and Hbase and perform data manipulation
Interact closely with business operations stakeholders, NPI managers, OEM partners and technical teams to maintain data integrity
Continuously monitor the health of operational data with the help of quality inspection using SQL scripts, Shell scripts and Tableau reports
Governance and maintenance of Master Data
Onsite travel on need basis to interact with source system counterparts to achieve data quality from grassroots
*
Introlligent Inc. (www.introlligent.com ) is an international professional services firm focusing on the rapid implementation of enterprise-wide business solutions. Our proven strengths are business process consulting, package implementation, client/server systems integration and custom software development.
We offer various services which include:
a) Internet Application Services
b) Offshore Development and Maintenance Services
c) Onsite/Offsite Development and Deployment
e) Offshore Development and Maintenance
f) Database, Data warehouse and BI Solutions
g) Technical Support
Job Type: Full-time
Schedule:
Morning shift
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Diploma (Preferred)
Work Remotely:
Temporarily due to COVID-19",20:12:26,02/01/2021
4,Data Analyst - Bill Validation,Proziod Analytics Pvt Ltd,"Koramangala, Bengaluru, Karnataka",https://in.indeed.com/company/Proziod-Analytics-Pvt-Ltd/jobs/Data-Analyst-b391a6e8fba20ef1?fccid=88e7caed7c994e2a&vjs=3,3.5,"₹3,00,000 a year","Job Description for the post of Data Analyst-Bill Validation
Verifying the accuracy of the utility bills (power and gas) for the clients who are based in the United Kingdom, following the processes linked to this activity.
Updating the internal database with relevant information and documentation related to each client;
- Identifying errors on the bills and contacting the suppliers to resolve them in favor of our clients;
- Sound knowledge in Non-Commodity charge validations.
- Report regularly to the Bureau Account Managers on the setup and validation status and coordinate the service delivery;
- Collaborates extensively with other departments throughout the Company to ensure the correct stream of information;
- Reporting the results to the Bureau Account Managers and Team Leader on a regular basis;
- Strong Knowledge in Ms-Excel
- Good communication skills (Written and verbal) and good email writing skills
Application Deadline: 10/1/2021
Expected Start Date: 4/1/2021
Job Types: Full-time, Volunteer
Salary: Up to ₹300,000.00 per year
Benefits:
Health insurance
Internet reimbursement
Paid sick time
Work from home
Schedule:
Flexible shift
Monday to Friday
Supplemental Pay:
Overtime pay
Experience:
total work: 3 years (Required)
work exp in energy & utility domain(non commodity charges): 1 year (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19
Speak with the employer
+91 9480534316",20:12:26,02/01/2021
5,Data Analyst with PowerBI,TalentHunt Consulting,"Bengaluru, Karnataka",https://in.indeed.com/company/TalentHunt-Consulting-LLP/jobs/Data-Analyst-Powerbi-3c8692429bea498e?fccid=4fb1ea0c794fa45d&vjs=3,None,"₹7,00,000 - ₹8,00,000 a year","Responsibilities:
Experience: 2-3years
- Strong technical background in Power BI tool with experience in extracting data, modeling, creating visualizations and scheduling data refreshes.
- Strong expertise in developing highly customized reports in Power BI
- Experience on Power BI Desktop to create visualizations using Tables Charts, Maps, Calculated columns, measures, including DAX.
- Experience in end-to-end implementation of Business Intelligence (BI) projects, especially in scorecards, KPIs, reports & dashboards
- Strong understanding and hands-on experience in SQL programming
- Understanding of Power BI architecture
- Strong knowledge in DAX functions
- Strong experience in data modelling
- Strong analytical and problem-solving skills along with good communication
Application Deadline: 10/12/2020
Expected Start Date: 14/12/2020
Job Type: Full-time
Salary: ₹700,000.00 - ₹800,000.00 per year
Schedule:
Day shift
Experience:
work: 2 years (Required)
total work: 2 years (Required)
Education:
Bachelor's (Required)",20:12:27,02/01/2021
6,Data Analyst,Khoros,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=0ad1403ecbfb2730&fccid=6ab90e1adde2a819&vjs=3,None,None,"Overview:
ABOUT KHOROS

Khoros, formerly known as Lithium + Spredfast, is the leading customer engagement platform providing Social Media Marketing, Care and Monitoring Solutions. Khoros Customer Engagement
Platform is built to turn siloed knowledge into enterprise value, and customers into contributors. By connecting consumer insights across all departments, Khoros gives companies the ability to run their business with their customers, anticipating their needs and accelerating sales, loyalty, and innovation. With 2,000+ customers, including 52 of the Interbrand 100. Khoros has ten offices globally and powers approximately 500 million digital interactions every day. From social media to online communities and messaging to digital customer care, Khoros helps companies authentically connect with customers throughout their journey.

ROLE

The Data Analyst will support the Sales Operations department by helping to enrich and validate company information and solve requests/issues raised by internal stakeholders. The Data Analyst is expected to quickly and accurately find information on the internet to fill in the respective fields on company accounts.

WHAT YOU’LL DO?

Enrich customer accounts with accurate information such as location, revenue, number of social interactions on twitter, etc.
Ensure that all modifications adhere to data governance guidelines.
Assist in adhering to consistent data maintenance procedures for key data points in Salesforce. Identify missing or incorrect master data and help to maintain a high level of data integrity for
accurate customer analysis
Process acquired information in Microsoft Excel
Resolve issues raised by stakeholders accurately and in time

WHAT WE ARE LOOKING FOR?

Bachelor’s degree in Engineering, Economics, Finance, Marketing or an equivalent discipline.
2-4 years of experience in the same or equivalent domain.
Must be able to quickly search the internet (Google & LinkedIn searches)

WHAT WOULD ADD VALUE?

Exceptional communication and presentation skills.
Time management skills with strong attention to details.
Ability to maintain confidentiality.
Excellent knowledge of databases and MS Office. Advanced Excel skills a plus.
Search engines, web analytics and business research tools acumen.
Familiarity with SFDC or other CRM tools.
Strong analytical and critical thinking

WHY SHOULD YOU JOIN OUR TEAM?

Awesome Culture
Performance Driven
Flexible Working hours
Great Benefits
Health, Dental & Visual insurance
Gym Allowance
Well stocked Pantry
Commute and leave allowance
Generous leave policy
Competitive Compensation
Among the best in industry
Annual bonus
Equal employment opportunity
Our employment practices

OUR VALUES

We earn trust through our actions and attitudes
We win and grow as one team
We listen learn and lead to help our customers succeed",20:12:29,02/01/2021
7,Data Analyst,Drishti,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=304eac57aa9feb6f&fccid=2527415de86190ea&vjs=3,3.4,None,"Join Drishti to solve a 100-year-old problem for a $12 trillion dollar industry.
Deep learning-driven action recognition is the next frontier for AI. Build it with us.
Drishti’s mission is to “extend human potential in an increasingly automated world”. For the first time since Henry Ford, we’re making manual processes visible to factory analytics—by creating manufacturing’s first and only solution for deep learning-driven action recognition.
About this role
A key part of Drishti is looking at mix of factory data and generating domain specific reports and analytics for the clients. A data analyst will understand the manufacturing domain and client context, and work with a mix of data from different sources, and create relevant reports.
Minimum Qualification
Ability to look at & analyse data using a set of tools – including excel, and python-based stack such as Pandas, R, and other tools
2+ years of experience with data analytics across domains – either inhouse in data team of a product company or with services organization
Prior experience with data ETL pipelines, setting them on snowflake / redshift / any other stack
Strong database concepts, including data modeling, SQL schema design & SQL queries
Experience with NoSQL / Mongo databases
1+ years of experience in Python
Bachelors in Computer Science / EE / Maths
Ability to pick up application of data in different domains
Understanding of concepts around time series, clustering, classification

Requirements:

Preferred Qualification
Certificate or courses done on data analytics on coursera, edX or others
Experience in manufacturing or applied context is a bonus
Five reasons to work at Drishti
Work with visionaries who can execute: Our leadership team is comprised of heavy hitters from the AI and deep learning world. Check out their patents and publications, and see how their histories intertwine with the biggest movements in the last 30 years of technology. And imagine being on a first-name basis with them, solving hard technical problems side-by-side.
Tackle a massive market challenge: Manufacturing is a $12T industry that still uses 100-year-old techniques to gather data on human tasks. Which means that people, who still perform nearly 75 percent of factory activities, are effectively invisible to analytics. This situation severely hinders the decision-making abilities of the world’s largest manufacturing brands. The demand for a solution couldn’t be larger.
Do what you love – solve problems using tech: A problem of this magnitude requires the full force of technological solutions. You’ll take on neural network model accuracy, high-volume video transit and storage, Big Data analysis and much more. It’s the challenge – and the madness, and the fun – of building an SAP on top of a YouTube on top of a Nest.
Lead the charge from Bangalore: Drishti is series B funded Silicon Valley-based startup and funded by top venture capital investors that include Andreessen Horowitz, Emergence Capital, BGV, Sozo Ventures, Toyota AI Ventures etc. But – and this is critical for you – Drishti is building its product out of Bangalore. From our CTO on down, Bangalore is the heart and soul of Drishti’s engineering. You’ll be at the centre of the action.
Get exposure to deep learning: Deep learning technology is fundamental to what we do, and select engineers at Drishti have the opportunity to rotate into our deep learning group, to work alongside some of the foremost experts in the field.",20:12:31,02/01/2021
8,Financial Data Analysis part time job/internship at Bangalor...,Innovate Networks E-Services Private Limited,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=afd4247deccadf1f&fccid=dd616958bd9ddc12&vjs=3,None,"₹12,000 a month","About the company:
9MediaOnline, a digital media company specializing in marketing, advertising, and publishing with a substantial focus on deploying performance-based marketing campaigns. We deliver viewable ad impressions that focus on the measurable effectiveness of the campaign delivery. Validated impressions help add value to our list of clientele (advertisers and publishers) by giving them a more accurate picture of the campaign performance thereby facilitating their business decisions. Our primary focus is placed on demographics so as to help increase unique and relevant audiences.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Analyze data & strategies 2. Optimize trade strategy 3. Conduct research on predictive & probability modeling
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 31st Dec'20 and 4th Feb'21
are available for duration of 3 months
have already graduated or are currently in any year of study
are from Bangalore and neighboring cities
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Analytics,Finance,Data Science,MBA",20:12:32,02/01/2021
9,Data Analyst,Kens Communication,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=24efb1ecf09ef3f0&fccid=d7846dc3ef01e2be&vjs=3,None,"₹4,00,000 a year","English Content Management

A leading KPO Company with HQ at Bangalore - Wilson Garden and International Locations is looking for ""Media-Analyst"" who can join them immediately.

Skills Required:
Good command over English language.

Excellent writing, editing and computer skills, English writing, comprehension and grammar skills

Good analytical skill.

Should have good knowledge of reporting and PPT

Positive attitude, good interpersonal skills, ability to face and deal with issues in a mature and professional manner

Salary & Benefits: Rs 18000/- to 25000/- + Medical + PF + Other standard benefits.",20:12:33,02/01/2021
